name,freq,error
Aeromicrobium choanae sp. nov,1,
Aeromicrobium flavum sp. nov,1,
Aeromicrobium ginsengisoli sp. nov,1,
Aeromicrobium halocynthiae sp. nov,1,
Aeromicrobium halotolerans sp. nov,1,
Aeromicrobium marinum sp. nov,1,
Aeromicrobium panacisoli sp. nov,1,
Aeromicrobium panaciterrae sp. nov,1,
Aeromicrobium ponti sp. nov,1,
Aeromicrobium tamlense sp. nov,1,
Aeromonas aquariorum sp. nov,2,
Aeromonas aquatica sp. nov,1,
Aeromonas australiensis sp. nov,1,
Aeromonas bivalvium sp. nov,1,
Aeromonas cavernicola sp. nov,1,
Aeromonas culicicola sp. nov,1,
Aeromonas dhakensis sp. nov,1,
Aeromonas diversa sp. nov,1,
Aeromonas finlandiensis sp. nov,1,
Aeromonas fluvialis sp. nov,1,
Aeromonas lacus sp. nov,1,
Aeromonas lusitana sp. nov,1,
Aeromonas molluscorum sp. nov,1,
Aeromonas piscicola sp. nov,1,
Aeromonas rivipollensis sp. nov,1,
Aeromonas rivuli sp. nov,1,
Aeromonas sanarellii sp. nov,1,
Aeromonas sharmana sp. nov,2,
Aeromonas simiae sp. nov,1,
Aeromonas taiwanensis sp. nov,1,
Aeromonas tecta sp. nov,1,
Aestuariibacter aggregatus sp. nov,1,
Aestuariibacter halophilus sp. nov,1,
Aestuariibacter litoralis sp. nov,1,
Aestuariibacter salexigens gen. nov,1,
Aestuariibaculum marinum sp. nov,1,
Aestuariibaculum scopimerae sp. nov,1,
Aestuariibaculum suncheonense gen. nov,1,
Aestuariibius insulae gen. nov,1,
Aestuariicella hydrocarbonica gen. nov,1,
Aestuariicoccus marinus gen. nov,1,
Aestuariicola saemankumensis gen. nov,1,
Aestuariihabitans beolgyonensis gen. nov,1,
Aestuariimicrobium kwangyangense gen. nov,1,
Aestuariimicrobium soli sp. nov,1,
Aestuariimonas insulae gen. nov,1,
Aestuariispira insulae gen. nov,1,
Aestuariivita atlantica sp. nov,1,
Aestuariivita boseongensis gen. nov,1,
Aestuariivivens insulae gen. nov,1,
Aestuarium zhoushanense gen. nov,1,
Afipia birgiae sp. nov,1,
Afipia massiliensis sp. nov,1,
Agaribacter flavus sp. nov,1,
Agaribacter marinus gen. nov,1,
Agaribacterium haliotis gen. nov,1,
Agaricicola taiwanensis gen. nov,1,
Agarilytica rhodophyticola gen. nov,1,
Agarivorans aestuarii sp. nov,1,
Agarivorans albus gen. nov,1,
