Name	Year
Kitasatospora atroaurantiaca	2009
Kitasatospora aureofaciens	2017
Kitasatospora azatica	1997
Kitasatospora cheerisanensis	1999
Kitasatospora cineracea	2001
Kitasatospora cinereorecta	2017
Kitasatospora cochleata	1997
Kitasatospora cystarginea	1992
Kitasatospora gansuensis	2004
Kitasatospora griseola	1985
Kitasatospora herbaricolor	2017
Kitasatospora kazusensis	2009
Kitasatospora kifunensis	2003
Kitasatospora mediocidica	1988
Kitasatospora misakiensis	2017
Kitasatospora niigatensis	2001
Kitasatospora nipponensis	2004
Kitasatospora paracochleata	1997
Kitasatospora paranensis	2004
Kitasatospora phosalacinea	1985
Kitasatospora psammotica	2017
Kitasatospora purpeofusca	2017
Kitasatospora putterlickiae	2003
Kitasatospora saccharophila	2009
Kitasatospora sampliensis	2006
Kitasatospora setae	1983
Kitasatospora terrestris	2004
Kitasatospora viridis	2005
Klebsiella aerogenes	2017
Klebsiella alba	2015
Klebsiella granulomatis	1999
Klebsiella grimontii	2018
Klebsiella michiganensis	2013
Klebsiella mobilis	1971
Klebsiella ornithinolytica	1989
Klebsiella oxytoca	1956
Klebsiella ozaenae	1925
Klebsiella planticola	1982
Klebsiella pneumoniae	1887
Klebsiella quasipneumoniae	2014
Klebsiella rhinoscleromatis	1887
Klebsiella singaporensis	2004
Klebsiella terrigena	1981
Klebsiella trevisanii	1983
Klebsiella variicola	2004
Klenkia brasiliensis	2018
Klenkia marina	2018
Klenkia soli	2018
Klenkia taihuensis	2018
Klenkia terrae	2018
Klugiella xanthotipulae	2008
Kluyvera ascorbata	1981
Kluyvera cochleae	1996
Kluyvera cryocrescens	1981
Kluyvera georgiana	1996
Kluyvera intermedia	2005
Knoellia aerolata	2007
Knoellia flava	2012
Knoellia locipacati	2012
Knoellia sinensis	2002
Knoellia subterranea	2002
Kocuria aegyptia	2006
Kocuria arsenatis	2016
Kocuria atrinae	2010
Kocuria carniphila	2005
Kocuria dechangensis	2015
Kocuria erythromyxa	1997
Kocuria flava	2008
Kocuria gwangalliensis	2009
Kocuria halotolerans	2009
Kocuria himachalensis	2006
Kocuria indica	2014
Kocuria koreensis	2010
Kocuria kristinae	1995
Kocuria marina	2004
Kocuria oceani	2017
Kocuria palustris	1999
Kocuria pelophila	2016
Kocuria polaris	2003
Kocuria rhizophila	1999
Kocuria rosea	1995
Kocuria salina	2017
Kocuria salsicia	2011
Kocuria subflava	2016
Kocuria turfanensis	2008
Kocuria uropygialis	2018
Kocuria uropygioeca	2018
Kocuria varians	1995
Kofleria flava	2007
Komagataeibacter europaeus	2013
Komagataeibacter hansenii	2013
Komagataeibacter intermedius	2013
Komagataeibacter kakiaceti	2014
Komagataeibacter kombuchae	2013
Komagataeibacter maltaceti	2014
Komagataeibacter medellinensis	2014
Komagataeibacter nataicola	2013
Komagataeibacter oboediens	2013
Komagataeibacter rhaeticus	2013
Komagataeibacter saccharivorans	2013
Komagataeibacter sucrofermentans	2013
Komagataeibacter swingsii	2013
Komagataeibacter xylinus	2013
Kordia algicida	2004
Kordia antarctica	2013
Kordia aquimaris	2013
Kordia jejudonensis	2014
Kordia periserrulae	2011
Kordia ulvae	2016
Kordia zhangzhouensis	2015
Kordia zosterae	2017
Kordiimonas aestuarii	2012
Kordiimonas aquimaris	2013
Kordiimonas gwangyangensis	2005
Kordiimonas lacus	2011
Kordiimonas lipolytica	2016
Kordiimonas pumila	2018
Kordiimonas sediminis	2017
Koreibacter algae	2010
Kosakonia arachidis	2013
Kosakonia cowanii	2013
Kosakonia oryzae	2013
Kosakonia oryzendophytica	2016
Kosakonia oryziphila	2016
Kosakonia radicincitans	2013
Kosakonia sacchari	2014
Koserella trabulsii	1985
Kosmotoga arenicorallina	2011
Kosmotoga olearia	2009
Kosmotoga pacifica	2016
Kosmotoga shengliensis	2013
Kozakia baliensis	2002
Krasilnikovia cinnamomea	2007
Krasilnikoviella flava	2017
Krasilnikoviella muralis	2017
Kribbella alba	2006
Kribbella aluminosa	2007
Kribbella amoyensis	2012
Kribbella antibiotica	2004
Kribbella catacumbae	2008
Kribbella deserti	2017
Kribbella endophytica	2013
Kribbella flavida	1999
Kribbella ginsengisoli	2010
Kribbella hippodromi	2008
Kribbella italica	2015
Kribbella jejuensis	2004
Kribbella karoonensis	2006
Kribbella koreensis	2003
Kribbella lupini	2006
Kribbella mirabilis	2015
Kribbella pittospori	2016
Kribbella qitaiheensis	2018
Kribbella sancticallisti	2008
Kribbella sandramycini	1999
Kribbella shirazensis	2013
Kribbella sindirgiensis	2018
Kribbella solani	2004
Kribbella soli	2017
Kribbella swartbergensis	2006
Kribbella yunnanensis	2006
Kribbia dieselivorans	2006
Kriegella aquimaris	2008
Krokinobacter diaphorus	2006
Krokinobacter eikastus	2006
Krokinobacter genikus	2006
Kroppenstedtia eburnea	2011
Kroppenstedtia guangzhouensis	2013
Kroppenstedtia pulmonis	2016
Kroppenstedtia sanguinis	2016
Ktedonobacter racemifer	2007
Kurthia gibsonii	1983
Kurthia huakuii	2014
Kurthia massiliensis	2013
Kurthia populi	2015
Kurthia senegalensis	2016
Kurthia sibirica	1988
Kurthia zopfii	1885
Kushneria aurantia	2009
Kushneria avicenniae	2009
Kushneria indalinina	2009
Kushneria konosiri	2017
Kushneria marisflavi	2009
Kushneria pakistanensis	2015
Kushneria sinocarnis	2010
Kutzneria albida	1994
Kutzneria buriramensis	2013
Kutzneria chonburiensis	2015
Kutzneria kofuensis	1994
Kutzneria viridogrisea	1994
Kyrpidia tusciae	2012
Kytococcus aerolatus	2009
Kytococcus schroeteri	2002
Kytococcus sedentarius	1995
Labedaea rhizosphaerae	2012
Labedella endophytica	2015
Labedella gwakjiensis	2007
Labilibacter aurantiacus	2017
Labilithrix luteola	2014
Labrenzia aggregata	2007
Labrenzia alba	2007
Labrenzia alexandrii	2007
Labrenzia marina	2007
Labrenzia salina	2016
Labrenzia suaedae	2014
Labrys methylaminiphilus	2005
Labrys miyagiensis	2007
Labrys monachus	1985
Labrys neptuniae	2007
Labrys okinawensis	2007
Labrys portucalensis	2008
Labrys soli	2015
Labrys wisconsinensis	2010
Laceyella putida	2005
Laceyella sacchari	2005
Laceyella sediminis	2012
Laceyella tengchongensis	2010
Laceyella thermophila	2017
Lachnoanaerobaculum orale	2012
Lachnoanaerobaculum saburreum	2012
Lachnoanaerobaculum umeaense	2012
Lachnobacterium bovis	2001
Lachnospira multipara	1956
Lachnospira pectinoschiza	1994
Lachnotalea glycerini	2016
Lacibacter cauensis	2009
Lacibacter daechungensis	2013
Lacibacterium aquatile	2013
Lacibacter nakdongensis	2017
Lacihabitans lacunae	2017
Lacihabitans soyangensis	2014
Lacimicrobium alkaliphilum	2016
Lacimonas salitolerans	2015
Lacinutrix algicola	2008
Lacinutrix cladophorae	2016
Lacinutrix copepodicola	2005
Lacinutrix gracilariae	2016
Lacinutrix himadriensis	2013
Lacinutrix iliipiscaria	2016
Lacinutrix jangbogonensis	2015
Lacinutrix mariniflava	2008
Lacinutrix undariae	2015
Lacinutrix venerupis	2016
Lacticigenium naphtae	2009
Lactivibrio alcoholicus	2014
Lactobacillus acetotolerans	1986
Lactobacillus acidifarinae	2005
Lactobacillus acidipiscis	2000
Lactobacillus acidophilus	1970
Lactobacillus acidophilus	1980
Lactobacillus agilis	1982
Lactobacillus algidus	2000
Lactobacillus alimentarius	1983
Lactobacillus allii	2017
Lactobacillus amylolyticus	1999
Lactobacillus amylophilus	1981
Lactobacillus amylotrophicus	2006
Lactobacillus amylovorus	1981
Lactobacillus animalis	1983
Lactobacillus antri	2005
Lactobacillus apinorum	2014
Lactobacillus apis	2014
Lactobacillus apodemi	2006
Lactobacillus aquaticus	2009
Lactobacillus arizonensis	2000
Lactobacillus aviarius	1985
Lactobacillus bavaricus	1980
Lactobacillus bifermentans	1983
Lactobacillus bobalius	2008
Lactobacillus bombi	2014
Lactobacillus bombicola	2015
Lactobacillus brantae	2012
Lactobacillus brevis	1934
Lactobacillus buchneri	1923
Lactobacillus bulgaricus	1971
Lactobacillus cacaonum	2009
Lactobacillus camelliae	2007
Lactobacillus capillatus	2008
Lactobacillus carnis	1986
Lactobacillus casei	1971
Lactobacillus catenaformis	1970
Lactobacillus caviae	2017
Lactobacillus cellobiosus	1953
Lactobacillus cerevisiae	2017
Lactobacillus ceti	2008
Lactobacillus coleohominis	2001
Lactobacillus colini	2017
Lactobacillus collinoides	1972
Lactobacillus composti	2007
Lactobacillus concavus	2005
Lactobacillus confusus	1972
Lactobacillus coryniformis	1965
Lactobacillus crispatus	1970
Lactobacillus crustorum	2007
Lactobacillus curieae	2013
Lactobacillus curtus	2017
Lactobacillus curvatus	1965
Lactobacillus cypricasei	2001
Lactobacillus delbrueckii	1901
Lactobacillus dextrinicus	2009
Lactobacillus diolivorans	2002
Lactobacillus divergens	1984
Lactobacillus durianis	2002
Lactobacillus equi	2002
Lactobacillus equicursoris	2010
Lactobacillus equigenerosi	2008
Lactobacillus fabifermentans	2009
Lactobacillus faecis	2013
Lactobacillus farciminis	1983
Lactobacillus farraginis	2007
Lactobacillus ferintoshensis	2002
Lactobacillus fermentum	1901
Lactobacillus floricola	2011
Lactobacillus florum	2010
Lactobacillus formosensis	2015
Lactobacillus fornicalis	2000
Lactobacillus fructivorans	1934
Lactobacillus fructosus	1956
Lactobacillus frumenti	2000
Lactobacillus fuchuensis	2002
Lactobacillus furfuricola	2014
Lactobacillus futsaii	2012
Lactobacillus gallinarum	1992
Lactobacillus gasseri	1980
Lactobacillus gastricus	2005
Lactobacillus ghanensis	2007
Lactobacillus gigeriorum	2012
Lactobacillus gorillae	2014
Lactobacillus graminis	1989
Lactobacillus halotolerans	1983
Lactobacillus hammesii	2005
Lactobacillus hamsteri	1988
Lactobacillus harbinensis	2006
Lactobacillus hayakitensis	2007
Lactobacillus heilongjiangensis	2013
Lactobacillus helsingborgensis	2014
Lactobacillus helveticus	1925
Lactobacillus herbarum	2015
Lactobacillus heterohiochii	1957
Lactobacillus hilgardii	1936
Lactobacillus hominis	2013
Lactobacillus homohiochii	1957
Lactobacillus hordei	2008
Lactobacillus iners	1999
Lactobacillus ingluviei	2003
Lactobacillus insicii	2016
Lactobacillus intestinalis	1990
Lactobacillus ixorae	2016
Lactobacillus jensenii	1970
Lactobacillus johnsonii	1992
Lactobacillus kalixensis	2005
Lactobacillus kandleri	1983
Lactobacillus kefiranofaciens	1988
Lactobacillus kefirgranum	1994
Lactobacillus kefiri	1983
Lactobacillus kimbladii	2014
Lactobacillus kimchicus	2011
Lactobacillus kimchiensis	2013
Lactobacillus kimchii	2000
Lactobacillus kisonensis	2009
Lactobacillus kitasatonis	2003
Lactobacillus koreensis	2011
Lactobacillus kullabergensis	2014
Lactobacillus kunkeei	1998
Lactobacillus lactis	1934
Lactobacillus leichmannii	1923
Lactobacillus lindneri	1997
Lactobacillus malefermentans	1989
Lactobacillus mali	1970
Lactobacillus maltaromicus	1974
Lactobacillus manihotivorans	1998
Lactobacillus mellifer	2014
Lactobacillus mellis	2014
Lactobacillus melliventris	2014
Lactobacillus metriopterae	2018
Lactobacillus micheneri	2018
Lactobacillus mindensis	2003
Lactobacillus minor	1983
Lactobacillus minutus	1972
Lactobacillus mixtipabuli	2015
Lactobacillus modestisalitolerans	2015
Lactobacillus mucosae	2000
Lactobacillus mudanjiangensis	2013
Lactobacillus murinus	1982
Lactobacillus musae	2017
Lactobacillus nagelii	2000
Lactobacillus namurensis	2007
Lactobacillus nantensis	2006
Lactobacillus nasuensis	2012
Lactobacillus nenjiangensis	2013
Lactobacillus nodensis	2009
Lactobacillus odoratitofui	2010
Lactobacillus oeni	2009
Lactobacillus oligofermentans	2005
Lactobacillus oris	1988
Lactobacillus oryzae	2013
Lactobacillus otakiensis	2009
Lactobacillus ozensis	2011
Lactobacillus panis	1996
Lactobacillus panisapium	2018
Lactobacillus pantheris	2002
Lactobacillus parabrevis	2006
Lactobacillus parabuchneri	1989
Lactobacillus paracasei	1989
Lactobacillus paracollinoides	2004
Lactobacillus parafarraginis	2007
Lactobacillus parakefiri	1994
Lactobacillus paralimentarius	1999
Lactobacillus paraplantarum	1996
Lactobacillus pasteurii	2013
Lactobacillus paucivorans	2010
Lactobacillus pentosiphilus	2017
Lactobacillus pentosus	1987
Lactobacillus perolens	2000
Lactobacillus piscicola	1984
Lactobacillus plajomi	2015
Lactobacillus plantarum	1923
Lactobacillus pobuzihii	2010
Lactobacillus pontis	1994
Lactobacillus porcinae	2013
Lactobacillus psittaci	2001
Lactobacillus quenuiae	2018
Lactobacillus rapi	2009
Lactobacillus rennini	2006
Lactobacillus reuteri	1982
Lactobacillus rhamnosus	1989
Lactobacillus rimae	1991
Lactobacillus rodentium	2014
Lactobacillus rogosae	1974
Lactobacillus rossiae	2005
Lactobacillus ruminis	1973
Lactobacillus saerimneri	2004
Lactobacillus sakei	1934
Lactobacillus salivarius	1953
Lactobacillus sanfranciscensis	1984
Lactobacillus saniviri	2012
Lactobacillus satsumensis	2005
Lactobacillus secaliphilus	2007
Lactobacillus selangorensis	2011
Lactobacillus senioris	2012
Lactobacillus senmaizukei	2008
Lactobacillus sharpeae	1982
Lactobacillus shenzhenensis	2013
Lactobacillus sicerae	2014
Lactobacillus silagei	2013
Lactobacillus silagincola	2017
Lactobacillus siliginis	2006
Lactobacillus similis	2010
Lactobacillus sobrius	2006
Lactobacillus songhuajiangensis	2013
Lactobacillus spicheri	2004
Lactobacillus sucicola	2009
Lactobacillus suebicus	1989
Lactobacillus sunkii	2009
Lactobacillus suntoryeus	2005
Lactobacillus taiwanensis	2009
Lactobacillus thailandensis	2007
Lactobacillus thermotolerans	2003
Lactobacillus timberlakei	2018
Lactobacillus trichodes	1949
Lactobacillus tucceti	2009
Lactobacillus uli	1991
Lactobacillus ultunensis	2005
Lactobacillus uvarum	2009
Lactobacillus vaccinostercus	1983
Lactobacillus vaginalis	1989
Lactobacillus versmoldensis	2003
Lactobacillus vespulae	2015
Lactobacillus vini	2006
Lactobacillus viridescens	1957
Lactobacillus vitulinus	1973
Lactobacillus wasatchensis	2016
Lactobacillus xiangfangensis	2012
Lactobacillus xylosus	1938
Lactobacillus yamanashiensis	1983
Lactobacillus zeae	1996
Lactobacillus zymae	2005
Lactococcus chungangensis	2008
Lactococcus formosensis	2014
Lactococcus fujiensis	2011
Lactococcus garvieae	1986
Lactococcus hircilactis	2015
Lactococcus lactis	1986
Lactococcus laudensis	2015
Lactococcus nasutitermitis	2016
Lactococcus petauri	2017
Lactococcus piscium	1990
Lactococcus plantarum	1986
Lactococcus raffinolactis	1988
Lactococcus reticulitermitis	2018
Lactococcus taiwanensis	2013
Lactonifactor longoviformis	2007
Lactosphaera pasteurii	1995
Lactovum miscens	2005
Lamprobacter modestohalophilus	1988
Lamprocystis purpurea	2001
Lamprocystis roseopersicina	1886
Lampropedia cohaerens	2016
Lampropedia hyalina	1886
Lapillicoccus jejuensis	2007
Laribacter hongkongensis	2002
Larkinella arboricola	2010
Larkinella bovis	2011
Larkinella harenae	2017
Larkinella insperata	2006
Larkinella knui	2018
Larkinella ripae	2017
Larkinella rosea	2018
Larkinella soli	2017
Larkinella terrae	2018
Larsenimonas salina	2015
Larsenimonas suaedae	2016
Lautropia mirabilis	1995
Lawsonella clevelandensis	2016
Lawsonia intracellularis	1995
Lawsonibacter asaccharolyticus	2018
Leadbetterella byssophila	2005
Lebetimonas acidiphila	2005
Lebetimonas natsushimae	2017
Lechevalieria aerocolonigenes	2001
Lechevalieria atacamensis	2010
Lechevalieria deserti	2010
Lechevalieria flava	2001
Lechevalieria fradiae	2007
Lechevalieria rhizosphaerae	2017
Lechevalieria roselyniae	2010
Lechevalieria xinjiangensis	2007
Leclercia adecarboxylata	1987
Leeia oryzae	2007
Leeuwenhoekiella aequorea	2005
Leeuwenhoekiella blandensis	2006
Leeuwenhoekiella marinoflava	2005
Leeuwenhoekiella nanhaiensis	2016
Leeuwenhoekiella palythoae	2009
Leeuwenhoekiella polynyae	2015
Legionella adelaidensis	1991
Legionella anisa	1985
Legionella beliardensis	2001
Legionella birminghamensis	1988
Legionella bozemanae	1980
Legionella brunensis	1989
Legionella busanensis	2003
Legionella cardiaca	2012
Legionella cherrii	1985
Legionella cincinnatiensis	1989
Legionella drancourtii	2004
Legionella dresdenensis	2010
Legionella drozanskii	2001
Legionella dumoffii	1980
Legionella erythra	1985
Legionella fairfieldensis	1991
Legionella fallonii	2001
Legionella feeleii	1984
Legionella geestiana	1993
Legionella gormanii	1980
Legionella gratiana	1991
Legionella gresilensis	2001
Legionella hackeliae	1985
Legionella impletisoli	2007
Legionella israelensis	1986
Legionella jamestowniensis	1985
Legionella jordanis	1982
Legionella lansingensis	1994
Legionella londiniensis	1993
Legionella longbeachae	1982
Legionella lytica	1996
Legionella maceachernii	1985
Legionella massiliensis	2012
Legionella micdadei	1980
Legionella moravica	1989
Legionella nagasakiensis	2012
Legionella nautarum	1993
Legionella norrlandica	2015
Legionella oakridgensis	1983
Legionella parisiensis	1985
Legionella pittsburghensis	1980
Legionella pneumophila	1979
Legionella quateirensis	1993
Legionella quinlivanii	1990
Legionella rowbothamii	2001
Legionella rubrilucens	1985
Legionella sainthelensi	1984
Legionella santicrucis	1985
Legionella saoudiensis	2016
Legionella shakespearei	1992
Legionella spiritensis	1985
Legionella steelei	2012
Legionella steigerwaltii	1985
Legionella taurinensis	1999
Legionella thermalis	2016
Legionella tucsonensis	1990
Legionella tunisiensis	2012
Legionella wadsworthii	1983
Legionella waltersii	1996
Legionella worsleiensis	1993
Legionella yabuuchiae	2007
Leifsonia antarctica	2009
Leifsonia aquatica	2000
Leifsonia aurea	2003
Leifsonia bigeumensis	2008
Leifsonia cynodontis	2000
Leifsonia ginsengi	2007
Leifsonia kafniensis	2009
Leifsonia kribbensis	2009
Leifsonia lichenia	2010
Leifsonia naganoensis	2000
Leifsonia pindariensis	2008
Leifsonia poae	2000
Leifsonia psychrotolerans	2011
Leifsonia rubra	2003
Leifsonia shinshuensis	2000
Leifsonia soli	2010
Leifsonia xyli	2000
Leisingera aquaemixtae	2014
Leisingera aquimarina	2008
Leisingera caerulea	2014
Leisingera daeponensis	2014
Leisingera methylohalidivorans	2002
Leisingera nanhaiensis	2010
Lelliottia amnigena	2013
Lelliottia jeotgali	2018
Lelliottia nimipressuralis	2013
Leminorella grimontii	1985
Leminorella richardii	1985
Lentibacillus amyloliquefaciens	2016
Lentibacillus garicola	2015
Lentibacillus halodurans	2007
Lentibacillus halophilus	2006
Lentibacillus jeotgali	2010
Lentibacillus juripiscarius	2005
Lentibacillus kapialis	2007
Lentibacillus kimchii	2016
Lentibacillus lacisalsi	2005
Lentibacillus persicus	2010
Lentibacillus populi	2016
Lentibacillus salarius	2005
Lentibacillus salicampi	2002
Lentibacillus salinarum	2008
Lentibacillus salis	2008
Lentibacillus sediminis	2017
Lentibacter algarum	2012
Lentisphaera araneosa	2004
Lentisphaera marina	2013
Lentisphaera profundi	2015
Lentzea albida	2001
Lentzea albidocapillata	1995
Lentzea californiensis	2001
Lentzea cavernae	2017
Lentzea chajnantorensis	2017
Lentzea flaviverrucosa	2002
Lentzea guizhouensis	2016
Lentzea jiangxiensis	2012
Lentzea kentuckyensis	2007
Lentzea pudingi	2017
Lentzea soli	2018
Lentzea violacea	2001
Lentzea waywayandensis	2001
Leptobacterium flavescens	2009
Leptolinea tardivitalis	2006
Leptonema illini	1983
Leptospira alexanderi	1999
Leptospira alstonii	2013
Leptospira biflexa	1918
Leptospira borgpetersenii	1987
Leptospira broomii	2006
Leptospira fainei	1998
Leptospira inadai	1987
Leptospira interrogans	1926
Leptospira kirschneri	1992
Leptospira kmetyi	2009
Leptospira licerasiae	2009
Leptospira mayottensis	2014
Leptospira meyeri	1987
Leptospira noguchii	1987
Leptospira parva	1982
Leptospira santarosai	1987
Leptospira terpstrae	2013
Leptospira vanthielii	2013
Leptospira venezuelensis	2018
Leptospira weilii	1987
Leptospira wolbachii	1987
Leptospira wolffii	2008
Leptospira yanagawae	2013
Leptospirillum ferriphilum	2002
Leptospirillum ferrooxidans	2000
Leptospirillum thermoferrooxidans	2000
Leptothrix cholodnii	1963
Leptothrix discophora	1997
Leptothrix lopholea	1934
Leptothrix mobilis	1997
Leptothrix ochracea	1843
Leptotrichia buccalis	1879
Leptotrichia goodfellowii	2004
Leptotrichia hofstadii	2004
Leptotrichia hongkongensis	2011
Leptotrichia shahii	2004
Leptotrichia trevisanii	2002
Leptotrichia wadei	2004
Leucobacter aerolatus	2010
Leucobacter albus	2004
Leucobacter alluvii	2006
Leucobacter aridicollis	2005
Leucobacter celer	2011
Leucobacter chironomi	2009
Leucobacter chromiireducens	2005
Leucobacter chromiiresistens	2011
Leucobacter corticis	2017
Leucobacter denitrificans	2012
Leucobacter exalbidus	2011
Leucobacter holotrichiae	2016
Leucobacter iarius	2007
Leucobacter komagatae	1996
Leucobacter luti	2006
Leucobacter musarum	2015
Leucobacter populi	2016
Leucobacter ruminantium	2017
Leucobacter salsicius	2011
Leucobacter tardus	2008
Leucobacter triazinivorans	2018
Leucobacter weissii	2017
Leucobacter zeae	2015
Leuconostoc amelibiosum	1989
Leuconostoc argentinum	1993
Leuconostoc carnosum	1989
Leuconostoc citreum	1989
Leuconostoc cremoris	1960
Leuconostoc dextranicum	1930
Leuconostoc durionis	2005
Leuconostoc fallax	1992
Leuconostoc ficulneum	2002
Leuconostoc fructosum	2002
Leuconostoc gasicomitatum	2001
Leuconostoc gelidum	1989
Leuconostoc holzapfelii	2007
Leuconostoc inhae	2003
Leuconostoc kimchii	2000
Leuconostoc lactis	1960
Leuconostoc mesenteroides	1878
Leuconostoc miyukkimchii	2012
Leuconostoc oeni	1967
Leuconostoc palmae	2009
Leuconostoc paramesenteroides	1967
Leuconostoc pseudoficulneum	2006
Leuconostoc pseudomesenteroides	1989
Leuconostoc rapi	2015
Leuconostoc suionicum	2017
Leucothrix mucor	1844
Leucothrix pacifica	2015
Levilinea saccharolytica	2006
Levinea amalonatica	1971
Levinea malonatica	1971
Lewinella agarilytica	2007
Lewinella antarctica	2009
Lewinella aquimaris	2016
Lewinella cohaerens	1998
Lewinella lacunae	2017
Lewinella lutea	2007
Lewinella marina	2007
Lewinella maritima	2017
Lewinella nigricans	1998
Lewinella persica	1998
Lewinella xylanilytica	2015
Libanicoccus massiliensis	2018
Liberibacter crescens	2014
Lihuaxuella thermophila	2013
Limibacillus halophilus	2015
Limibacter armeniacum	2008
Limibaculum halophilum	2017
Limimaricola aestuariicola	2018
Limimaricola cinnabarinus	2018
Limimaricola hongkongensis	2018
Limimaricola pyoseonensis	2018
Limimaricola soesokkakensis	2018
Limimaricola variabilis	2018
Limimonas halophila	2013
Limisphaera ngatamarikiensis	2015
Limnobacter humi	2017
Limnobacter litoralis	2011
Limnobacter thiooxidans	2001
Limnochorda pilosa	2015
Limnohabitans australis	2010
Limnohabitans curvus	2010
Limnohabitans parvus	2010
Limnohabitans planktonicus	2010
Limnothrix redekei	2002
Lipingzhangella halophila	2016
Lishizhenia caseinilytica	2006
Lishizhenia tianjinensis	2009
Listeria aquatica	2014
Listeria booriae	2015
Listeria cornellensis	2014
Listeria costaricensis	2018
Listeria denitrificans	1961
Listeria fleischmannii	2013
Listeria floridensis	2014
Listeria grandensis	2014
Listeria grayi	1966
Listeria innocua	1983
Listeria ivanovii	1984
Listeria marthii	2010
Listeria monocytogenes	1940
Listeria murrayi	1971
Listeria newyorkensis	2015
Listeria riparia	2014
Listeria rocourtiae	2010
Listeria seeligeri	1983
Listeria weihenstephanensis	2013
Listeria welshimeri	1983
Listonella anguillarum	1986
Listonella damsela	1986
Listonella pelagia	1986
Litoreibacter albidus	2011
Litoreibacter arenae	2012
Litoreibacter ascidiaceicola	2014
Litoreibacter halocynthiae	2013
Litoreibacter janthinus	2011
Litoreibacter meonggei	2012
Litoreibacter ponti	2014
Litoribacillus peritrichatus	2014
Litoribacter ruber	2010
Litoribaculum gwangyangense	2015
Litoribrevibacter albus	2015
Litoribrevibacter euphylliae	2018
Litoricola lipolytica	2007
Litoricola marina	2010
Litorilinea aerophila	2013
Litorimicrobium taeanense	2011
Litorimonas cladophorae	2013
Litorimonas haliclonae	2018
Litorimonas taeanensis	2011
Litorisediminicola beolgyonensis	2013
Litorisediminivivens gilvus	2016
Litorivivens aequoris	2017
Litorivivens lipolytica	2015
Loktanella acticola	2017
Loktanella aestuariicola	2015
Loktanella agnita	2005
Loktanella atrilutea	2007
Loktanella cinnabarina	2013
Loktanella fryxellensis	2004
Loktanella hongkongensis	2004
Loktanella koreensis	2006
Loktanella litorea	2013
Loktanella maricola	2007
Loktanella marina	2016
Loktanella maritima	2014
Loktanella ponticola	2014
Loktanella pyoseonensis	2010
Loktanella rosea	2005
Loktanella salsilacus	2004
Loktanella sediminilitoris	2013
Loktanella sediminum	2015
Loktanella soesokkakensis	2014
Loktanella tamlensis	2012
Loktanella variabilis	2014
Loktanella vestfoldensis	2004
Lonepinella koalarum	1996
Longibacter salinarum	2016
Longibaculum muris	2017
Longicatena caecimuris	2016
Longilinea arvoryzae	2007
Longimicrobium terrae	2016
Longimonas haloalkaliphila	2017
Longimonas halophila	2015
Longimycelium tulufanense	2013
Longispora albida	2003
Longispora fulva	2011
Longispora urticae	2017
Longivirga aurantiaca	2018
Lonsdalea britannica	2017
Lonsdalea iberica	2017
Lonsdalea populi	2017
Lonsdalea quercina	2012
Lucibacterium harveyi	1970
Luedemannella flava	2007
Luedemannella helvata	2007
Luminiphilus syltensis	2013
Lunatimonas lonarensis	2015
Lunatimonas salinarum	2016
Lutaonella thermophila	2009
Luteibacter anthropi	2009
Luteibacter rhizovicinus	2005
Luteibacter yeojuensis	2009
Luteibaculum oceani	2013
Luteimicrobium album	2013
Luteimicrobium subarcticum	2010
Luteimicrobium xylanilyticum	2014
Luteimonas abyssi	2014
Luteimonas aestuarii	2009
Luteimonas aquatica	2008
Luteimonas arsenica	2016
Luteimonas composti	2007
Luteimonas cucumeris	2012
Luteimonas lutimaris	2011
Luteimonas marina	2008
Luteimonas mephitis	2000
Luteimonas notoginsengisoli	2016
Luteimonas padinae	2016
Luteimonas pelagia	2016
Luteimonas rhizosphaerae	2018
Luteimonas soli	2015
Luteimonas terrae	2016
Luteimonas terricola	2010
Luteimonas tolerans	2016
Luteimonas vadosa	2013
Luteipulveratus halotolerans	2015
Luteipulveratus mongoliensis	2010
Luteitalea pratensis	2017
Luteivirga sdotyamensis	2013
Luteococcus japonicus	1994
Luteococcus peritonei	2000
Luteococcus sanguinis	2003
Luteococcus sediminum	2014
Luteolibacter algae	2008
Luteolibacter arcticus	2015
Luteolibacter cuticulihirudinis	2012
Luteolibacter flavescens	2017
Luteolibacter gellanilyticus	2017
Luteolibacter luojiensis	2012
Luteolibacter pohnpeiensis	2008
Luteolibacter yonseiensis	2013
Lutibacter aestuarii	2012
Lutibacter crassostreae	2015
Lutibacter flavus	2013
Lutibacter holmesii	2015
Lutibacter litoralis	2006
Lutibacter maritimus	2010
Lutibacter oceani	2017
Lutibacter oricola	2015
Lutibacter profundi	2016
Lutibaculum baratangense	2012
Lutimaribacter litoralis	2013
Lutimaribacter marinistellae	2016
Lutimaribacter pacificus	2013
Lutimaribacter saemankumensis	2009
Lutimonas halocynthiae	2014
Lutimonas saemankumensis	2014
Lutimonas vermicola	2007
Lutispora thermophila	2008
Lysinibacillus acetophenoni	2015
Lysinibacillus alkaliphilus	2015
Lysinibacillus alkalisoli	2017
Lysinibacillus boronitolerans	2007
Lysinibacillus chungkukjangi	2013
Lysinibacillus composti	2014
Lysinibacillus contaminans	2013
Lysinibacillus cresolivorans	2015
Lysinibacillus endophyticus	2017
Lysinibacillus fusiformis	2007
Lysinibacillus halotolerans	2014
Lysinibacillus louembei	2015
