Name	Year
Actinokineospora globicatena	1995
Actinokineospora guangxiensis	2015
Actinokineospora inagensis	1995
Actinokineospora mzabensis	2015
Actinokineospora riparia	1988
Actinokineospora soli	2012
Actinokineospora spheciospongiae	2015
Actinokineospora terrae	1995
Actinomadura adrarensis	2016
Actinomadura africana	1974
Actinomadura alba	2007
Actinomadura algeriensis	2017
Actinomadura alkaliterrae	2017
Actinomadura amylolytica	2015
Actinomadura apis	2011
Actinomadura atramentaria	1987
Actinomadura aurantiaca	1975
Actinomadura bangladeshensis	2008
Actinomadura barringtoniae	2018
Actinomadura carminata	1973
Actinomadura catellatispora	2003
Actinomadura cellulosilytica	2015
Actinomadura chibensis	2008
Actinomadura chokoriensis	2008
Actinomadura citrea	1972
Actinomadura coerulea	1975
Actinomadura coeruleofusca	1974
Actinomadura coeruleoviolacea	1987
Actinomadura cremea	1975
Actinomadura darangshiensis	2015
Actinomadura echinospora	1991
Actinomadura fastidiosa	1975
Actinomadura ferruginea	1981
Actinomadura fibrosa	1990
Actinomadura flava	1974
Actinomadura flavalba	2009
Actinomadura flexuosa	1989
Actinomadura formosensis	1998
Actinomadura fulvescens	1987
Actinomadura gamaensis	2016
Actinomadura geliboluensis	2012
Actinomadura glauciflava	2003
Actinomadura glomerata	1996
Actinomadura hallensis	2006
Actinomadura helvata	1971
Actinomadura hibisca	1991
Actinomadura jiaoheensis	2016
Actinomadura keratinilytica	2009
Actinomadura kijaniata	1982
Actinomadura latina	1997
Actinomadura libanotica	1981
Actinomadura livida	1975
Actinomadura longicatena	1996
Actinomadura longispora	1974
Actinomadura luteofluorescens	1975
Actinomadura macra	1980
Actinomadura madurae	1968
Actinomadura malachitica	1972
Actinomadura meridiana	2012
Actinomadura mexicana	2004
Actinomadura meyerae	2004
Actinomadura miaoliensis	2009
Actinomadura montaniterrae	2016
Actinomadura namibiensis	2003
Actinomadura napierensis	2005
Actinomadura nitritigenes	1995
Actinomadura oligospora	1986
Actinomadura pelletieri	1968
Actinomadura polychroma	1987
Actinomadura pusilla	1971
Actinomadura rayongensis	2015
Actinomadura recticatena	1987
Actinomadura rifamycini	2011
Actinomadura roseola	1975
Actinomadura roseoviolacea	1971
Actinomadura rubra	1974
Actinomadura rubrobrunea	1991
Actinomadura rudentiformis	2007
Actinomadura rugatobispora	1991
Actinomadura rupiterrae	2012
Actinomadura salmonea	1975
Actinomadura scrupuli	2010
Actinomadura sediminis	2012
Actinomadura spadix	1971
Actinomadura spiralis	1981
Actinomadura sporangiiformans	2016
Actinomadura sputi	2010
Actinomadura syzygii	2015
Actinomadura turkmeniaca	1987
Actinomadura umbrina	1987
Actinomadura verrucosospora	1971
Actinomadura vinacea	1975
Actinomadura viridilutea	2001
Actinomadura viridis	1989
Actinomadura xylanilytica	2013
Actinomadura yumaensis	1985
Actinomyces bernardiae	1995
Actinomyces bovis	1877
Actinomyces bowdenii	1999
Actinomyces canis	2000
Actinomyces cardiffensis	2003
Actinomyces catuli	2001
Actinomyces coleocanis	2002
Actinomyces dentalis	2005
Actinomyces denticolens	1984
Actinomyces europaeus	1997
Actinomyces funkei	2001
Actinomyces gaoshouyii	2017
Actinomyces georgiae	1990
Actinomyces gerencseriae	1990
Actinomyces graevenitzii	1997
Actinomyces haliotis	2014
Actinomyces hominis	2010
Actinomyces hongkongensis	2004
Actinomyces hordeovulneris	1984
Actinomyces howellii	1984
Actinomyces humiferus	1969
Actinomyces hyovaginalis	1993
Actinomyces israelii	1898
Actinomyces johnsonii	2009
Actinomyces liubingyangii	2017
Actinomyces marimammalium	2001
Actinomyces massiliensis	2009
Actinomyces meyeri	1984
Actinomyces naeslundii	1951
Actinomyces nasicola	2003
Actinomyces naturae	2012
Actinomyces neuii	1994
Actinomyces odontolyticus	1958
Actinomyces oricola	2003
Actinomyces oris	2009
Actinomyces pyogenes	1982
Actinomyces pyogenes	1983
Actinomyces radicidentis	2001
Actinomyces radingae	1995
Actinomyces ruminicola	2006
Actinomyces slackii	1986
Actinomyces suimastitidis	2001
Actinomyces suis	1992
Actinomyces timonensis	2010
Actinomyces turicensis	1995
Actinomyces urogenitalis	2000
Actinomyces vaccimaxillae	2003
Actinomyces viscosus	1969
Actinomyces vulturis	2017
Actinomyces weissii	2012
Actinomycetospora atypica	2014
Actinomycetospora chiangmaiensis	2008
Actinomycetospora chibensis	2011
Actinomycetospora chlora	2011
Actinomycetospora cinnamomea	2011
Actinomycetospora corticicola	2011
Actinomycetospora iriomotensis	2011
Actinomycetospora lutea	2011
Actinomycetospora rhizophila	2015
Actinomycetospora rishiriensis	2011
Actinomycetospora straminea	2011
Actinomycetospora succinea	2011
Actinophytocola algeriensis	2016
Actinophytocola burenkhanensis	2011
Actinophytocola corallina	2011
Actinophytocola gilvus	2014
Actinophytocola glycyrrhizae	2018
Actinophytocola oryzae	2010
Actinophytocola sediminis	2014
Actinophytocola timorensis	2011
Actinophytocola xanthii	2017
Actinophytocola xinjiangensis	2011
Actinoplanes abujensis	2012
Actinoplanes armeniacus	1964
Actinoplanes atraurantiacus	2012
Actinoplanes auranticolor	1988
Actinoplanes bogorensis	2016
Actinoplanes brasiliensis	1969
Actinoplanes caeruleus	1986
Actinoplanes campanulatus	1988
Actinoplanes capillaceus	2001
Actinoplanes cibodasensis	2015
Actinoplanes consettensis	1990
Actinoplanes couchii	2007
Actinoplanes cyaneus	1987
Actinoplanes deccanensis	1975
Actinoplanes derwentensis	1990
Actinoplanes digitatis	1988
Actinoplanes durhamensis	1990
Actinoplanes ferrugineus	1979
Actinoplanes friuliensis	2001
Actinoplanes globisporus	1988
Actinoplanes humidus	1990
Actinoplanes ianthinogenes	2011
Actinoplanes italicus	1973
Actinoplanes lichenis	2016
Actinoplanes liguriensis	2006
Actinoplanes lobatus	1988
Actinoplanes luteus	2015
Actinoplanes lutulentus	2014
Actinoplanes minutisporangius	1986
Actinoplanes missouriensis	1963
Actinoplanes nipponensis	2014
Actinoplanes octamycinicus	2011
Actinoplanes palleronii	1990
Actinoplanes philippinensis	1950
Actinoplanes ramoplaninifer	2017
Actinoplanes rectilineatus	1975
Actinoplanes regularis	1988
Actinoplanes rhizophilus	2015
Actinoplanes rishiriensis	2012
Actinoplanes sediminis	2018
Actinoplanes siamensis	2013
Actinoplanes sichuanensis	2009
Actinoplanes subglobosus	2016
Actinoplanes teichomyceticus	2006
Actinoplanes tereljensis	2010
Actinoplanes toevensis	2010
Actinoplanes tropicalis	2015
Actinoplanes utahensis	1963
Actinoplanes xinjiangensis	2009
Actinopolymorpha alba	2009
Actinopolymorpha cephalotaxi	2010
Actinopolymorpha pittospori	2011
Actinopolymorpha rutila	2008
Actinopolymorpha singaporensis	2001
Actinopolyspora alba	2011
Actinopolyspora algeriensis	2013
Actinopolyspora biskrensis	2015
Actinopolyspora erythraea	2011
Actinopolyspora halophila	1975
Actinopolyspora iraqiensis	1994
Actinopolyspora lacussalsi	2013
Actinopolyspora mortivallis	1991
Actinopolyspora mzabensis	2013
Actinopolyspora righensis	2014
Actinopolyspora saharensis	2013
Actinopolyspora salinaria	2016
Actinopolyspora xinjiangensis	2011
Actinopycnidium caeruleum	1962
Actinorectispora indica	2016
Actinorectispora metalli	2018
Actinorhabdospora filicis	2016
Actinorugispora endophytica	2015
Actinospica acidiphila	2006
Actinospica durhamensis	2015
Actinospica robiniae	2006
Actinosporangium violaceum	1961
Actinosporangium vitaminophilum	1983
Actinosynnema mirum	1978
Actinosynnema pretiosum	1983
Actinotalea caeni	2017
Actinotalea fermentans	2007
Actinotalea ferrariae	2013
Actinotalea solisilvae	2018
Actinotalea suaedae	2015
Actinotignum sanguinis	2015
Actinotignum schaalii	2015
Actinotignum urinale	2015
Acutalibacter muris	2016
Acuticoccus yangtzensis	2017
Adhaeribacter aerolatus	2010
Adhaeribacter aerophilus	2010
Adhaeribacter aquaticus	2005
Adhaeribacter swui	2018
Adhaeribacter terrae	2017
Adhaeribacter terreus	2009
Adlercreutzia equolifaciens	2008
Advenella alkanexedens	2016
Advenella faeciporci	2012
Advenella incenata	2005
Advenella kashmirensis	2009
Advenella mimigardefordensis	2009
Aegyptianella pullorum	1929
Aequorivita aestuarii	2017
Aequorivita antarctica	2002
Aequorivita capsosiphonis	2009
Aequorivita crocea	2002
Aequorivita echinoideorum	2017
Aequorivita lipolytica	2002
Aequorivita nionensis	2017
Aequorivita soesokkakensis	2017
Aequorivita sublithincola	2002
Aequorivita viscosa	2013
Aeribacillus composti	2017
Aeribacillus pallidus	2010
Aeriscardovia aeriphila	2004
Aerococcus christensenii	1999
Aerococcus sanguinicola	2001
